Country Code,Country Name,Continent,Mobile Connectivity Subscore,Difference With Average MCS,Internet Connectivity Subscore,Difference With Average ICS,Landline Connectivity Subscore,Difference with Average LCS,Power Accessibility Subscore,Difference With Average PCS,Total Score,Difference With Average Total Score
ABW,ARUBA,,25.78,5.57,18.60,8.48,12.53,7.27,22.06,3.24,78.97,24.56
AFG,AFGHANISTAN,ASIA,13.73,-6.48,1.20,-8.92,0.01,-5.25,10.25,-8.57,25.19,-29.22
AGO,ANGOLA,AFRICA,14.43,-5.78,3.00,-7.12,0.19,-5.07,8.65,-10.17,26.27,-28.14
ALB,ALBANIA,AFRICA,24.00,3.79,13.50,3.38,1.43,-3.83,25.00,6.18,63.93,9.52
AND,ANDORRA,EUROPE,24.00,3.79,24.30,14.18,14.49,9.23,25.00,6.18,87.79,33.38
ARE,UNITED ARAB EMIRATES,ASIA,25.77,5.56,20.40,10.28,2.37,-2.89,23.53,4.71,72.07,17.66
ARG,ARGENTINA,SOUTH AMERICA,26.48,6.27,13.50,3.38,6.24,0.98,22.06,3.24,68.28,13.87
ARM,ARMENIA,EUROPE,25.83,5.62,7.50,-2.62,2.70,-2.56,24.95,6.13,60.97,6.56
ASM,AMERICAN SAMOA,,0.00,-20.21,0.00,-10.12,2.52,-2.74,13.94,-4.88,16.46,-37.95
ATG,ANTIGUA AND BARBUDA,NORTH AMERICA,29.55,9.34,14.10,3.98,13.50,8.24,22.06,3.24,79.21,24.80
AUS,AUSTRALIA,AUSTRALIA,24.03,3.82,22.80,12.68,14.28,9.02,25.00,6.18,86.10,31.69
AUT,AUSTRIA,EUROPE,26.74,6.53,22.55,12.43,13.33,8.07,25.00,6.18,87.63,33.22
AZE,AZERBAIJAN,EUROPE,24.00,3.79,13.80,3.68,2.24,-3.02,25.00,6.18,65.04,10.63
BDI,BURUNDI,AFRICA,5.45,-14.76,0.30,-9.82,0.05,-5.21,1.33,-17.50,7.13,-47.28
BEL,BELGIUM,EUROPE,24.67,4.45,22.50,12.38,13.60,8.34,25.00,6.18,85.77,31.36
BEN,BENIN,AFRICA,22.32,2.11,0.94,-9.18,0.19,-5.07,6.98,-11.85,30.42,-23.99
BFA,BURKINA FASO,AFRICA,11.02,-9.19,0.72,-9.40,0.13,-5.13,3.28,-15.55,15.14,-39.27
BGD,BANGLADESH,ASIA,13.48,-6.73,1.11,-9.01,0.11,-5.15,13.80,-5.02,28.51,-25.90
BGR,BULGARIA,EUROPE,26.28,6.07,13.87,3.75,10.33,5.07,25.00,6.18,75.48,21.07
BHR,BAHRAIN,ASIA,25.51,5.30,16.50,6.38,2.46,-2.80,23.53,4.71,68.01,13.60
BHS,BAHAMAS,NORTH AMERICA,25.13,4.92,12.90,2.78,12.72,7.46,22.06,3.24,72.80,18.40
BIH,BOSNIA AND HERZEGOWINA,EUROPE,24.00,3.79,15.60,5.48,9.88,4.62,24.93,6.10,74.41,20.00
BLR,BELARUS,EUROPE,24.53,4.32,9.54,-0.58,13.76,8.50,25.00,6.18,72.83,18.43
BLZ,BELIZE,NORTH AMERICA,18.88,-1.33,4.20,-5.92,1.32,-3.94,22.06,3.24,46.46,-7.95
BMU,BERMUDA,,26.15,5.94,25.26,15.14,14.67,9.41,25.00,6.18,91.08,36.67
BOL,BOLIVIA,SOUTH AMERICA,21.21,1.00,6.72,-3.40,1.13,-4.13,20.05,1.23,49.11,-5.30
BRA,BRAZIL,SOUTH AMERICA,24.05,3.84,12.20,2.08,5.84,0.58,24.73,5.91,66.82,12.41
BRB,BARBADOS,NORTH AMERICA,25.49,5.28,20.43,10.31,14.49,9.23,22.06,3.24,82.47,28.06
BRN,BRUNEI DARUSSALAM,,24.52,4.31,15.90,5.78,2.69,-2.57,18.15,-0.67,61.26,6.85
BTN,BHUTAN,ASIA,16.50,-3.71,4.08,-6.04,0.50,-4.76,18.00,-0.82,39.08,-15.33
BWA,BOTSWANA,AFRICA,25.20,4.99,1.80,-8.32,0.94,-4.32,10.78,-8.05,38.72,-15.69
CAF,CENTRAL AFRICAN REPUBLIC,AFRICA,6.75,-13.46,0.60,-9.52,0.00,-5.26,2.37,-16.46,9.72,-44.69
CAN,CANADA,NORTH AMERICA,22.70,2.49,24.09,13.97,13.62,8.36,25.00,6.18,85.41,31.00
CHE,SWITZERLAND,EUROPE,25.39,5.18,25.17,15.05,13.88,8.62,25.00,6.18,89.44,35.03
CHL,CHILE,SOUTH AMERICA,24.95,4.73,13.50,3.38,5.65,0.39,24.90,6.08,68.99,14.58
CHN,CHINA,ASIA,18.95,-1.26,10.29,0.17,5.85,0.59,24.93,6.10,60.01,5.60
CIV,COTE D'IVOIRE,AFRICA,24.00,3.79,0.63,-9.49,0.20,-5.06,14.73,-4.10,39.56,-14.85
CMR,CAMEROON,AFRICA,12.56,-7.65,1.29,-8.83,0.35,-4.91,12.25,-6.57,26.46,-27.95
COD,"CONGO, THE DRC",AFRICA,5.70,-14.51,0.22,-9.90,0.01,-5.25,3.80,-15.02,9.73,-44.68
COG,CONGO,AFRICA,24.00,3.79,1.50,-8.62,0.04,-5.22,9.28,-9.55,34.82,-19.59
COL,COLOMBIA,SOUTH AMERICA,24.00,3.79,10.95,0.83,2.09,-3.17,24.20,5.38,61.24,6.83
COM,COMOROS,AFRICA,7.26,-12.95,1.53,-8.59,0.42,-4.84,12.09,-6.74,21.29,-33.12
CPV,CAPE VERDE,AFRICA,22.88,2.67,9.00,-1.12,1.99,-3.27,16.75,-2.07,50.62,-3.79
CRI,COSTA RICA,NORTH AMERICA,20.10,-0.11,10.95,0.83,5.99,0.73,24.75,5.93,61.79,7.38
CUB,CUBA,NORTH AMERICA,2.67,-17.54,4.77,-5.35,1.39,-3.87,25.00,6.18,33.83,-20.58
CYM,CAYMAN ISLANDS,,28.87,8.66,19.80,9.68,14.02,8.76,22.06,3.24,84.75,30.34
CYP,CYPRUS,EUROPE,24.00,3.79,15.90,5.78,12.93,7.67,25.00,6.18,77.83,23.42
CZE,CZECH REPUBLIC,EUROPE,25.35,5.14,20.65,10.53,5.95,0.69,25.00,6.18,76.95,22.54
DEU,GERMANY,EUROPE,24.39,4.18,24.60,14.48,13.91,8.65,25.00,6.18,87.90,33.49
DJI,DJIBOUTI,AFRICA,5.96,-14.25,1.95,-8.17,0.30,-4.96,12.43,-6.40,20.63,-33.78
DMA,DOMINICA,NORTH AMERICA,26.90,6.69,14.24,4.12,5.86,0.60,22.81,3.99,69.81,15.40
DNK,DENMARK,EUROPE,24.94,4.73,26.62,16.50,14.23,8.97,25.00,6.18,90.79,36.38
DOM,DOMINICAN REPUBLIC,NORTH AMERICA,24.00,3.79,9.42,-0.70,1.36,-3.90,24.54,5.72,59.32,4.91
DZA,ALGERIA,AFRICA,24.00,3.79,3.75,-6.37,1.07,-4.20,24.83,6.00,53.64,-0.77
ECU,ECUADOR,SOUTH AMERICA,24.00,3.79,8.71,-1.41,1.88,-3.38,24.37,5.54,58.95,4.54
EGY,EGYPT,AFRICA,24.00,3.79,9.43,-0.69,1.66,-3.60,24.90,6.08,59.99,5.58
ERI,ERITREA,AFRICA,0.97,-19.24,0.18,-9.94,0.13,-5.13,8.13,-10.69,9.41,-45.00
ESP,SPAIN,EUROPE,24.68,4.47,19.74,9.62,13.77,8.51,25.00,6.18,83.19,28.78
EST,ESTONIA,EUROPE,25.64,5.43,22.23,12.11,12.89,7.63,25.00,6.18,85.76,31.35
ETH,ETHIOPIA,AFRICA,2.36,-17.85,0.23,-9.89,0.14,-5.12,5.75,-13.07,8.48,-45.93
FIN,FINLAND,EUROPE,27.38,7.17,26.07,15.95,6.07,0.81,25.00,6.18,84.51,30.10
FJI,FIJI,AUSTRALIA,24.00,3.79,6.00,-4.12,2.04,-3.22,13.94,-4.88,45.98,-8.43
FRA,FRANCE,EUROPE,24.00,3.79,23.18,13.07,13.93,8.67,25.00,6.18,86.11,31.70
FRO,FAROE ISLANDS,,25.19,4.98,22.56,12.44,13.37,8.11,25.00,6.18,86.12,31.71
FSM,"MICRONESIA, FEDERATED STATES OF",AUSTRALIA,7.97,-12.24,6.00,-4.12,1.10,-4.16,13.94,-4.88,29.01,-25.40
GAB,GABON,AFRICA,24.21,4.00,2.17,-7.95,0.26,-5.00,20.40,1.58,47.04,-7.37
GBR,UNITED KINGDOM,EUROPE,25.42,5.21,25.50,15.38,13.61,8.35,25.00,6.18,89.53,35.12
GEO,GEORGIA,EUROPE,24.00,3.79,8.07,-2.05,9.80,4.54,25.00,6.18,66.87,12.46
GHA,GHANA,AFRICA,21.56,1.35,2.34,-7.78,0.16,-5.10,15.13,-3.70,39.18,-15.23
GIB,GIBRALTAR,,24.16,3.94,19.50,9.38,0.16,-5.10,15.13,-3.70,58.94,4.53
GIN,GUINEA,AFRICA,11.03,-9.18,0.30,-9.82,0.02,-5.24,5.05,-13.77,16.41,-38.00
GMB,GAMBIA,AFRICA,24.00,3.79,2.76,-7.36,0.39,-4.87,7.74,-11.08,34.89,-19.52
GNB,GUINEA-BISSAU,AFRICA,12.81,-7.40,0.74,-9.38,0.04,-5.22,14.26,-4.56,27.85,-26.56
GNQ,EQUATORIAL GUINEA,AFRICA,17.21,-3.00,1.80,-8.32,0.26,-5.00,7.29,-11.53,26.55,-27.86
GRC,GREECE,EUROPE,24.64,4.43,13.32,3.20,13.59,8.33,25.00,6.18,76.55,22.14
GRD,GRENADA,NORTH AMERICA,24.99,4.78,8.10,-2.02,10.03,4.77,22.06,3.24,65.18,10.77
GRL,GREENLAND,EUROPE,24.09,3.87,18.90,8.78,13.09,7.82,25.00,6.18,81.07,26.66
GTM,GUATEMALA,NORTH AMERICA,25.56,5.35,3.15,-6.97,1.41,-3.85,20.45,1.62,50.56,-3.85
GUM,GUAM,,0.00,-20.21,16.21,6.09,13.42,8.16,13.94,-4.88,43.57,-10.84
GUY,GUYANA,SOUTH AMERICA,21.39,1.18,8.97,-1.15,2.57,-2.69,19.40,0.58,52.33,-2.08
HKG,HONG KONG,ASIA,29.74,9.53,21.60,11.48,13.86,8.60,25.00,6.18,90.20,35.79
